,DATE,OPEN,HIGH,LOW,CLOSE,ADJ CLOSE,VOLUME,COMPANY
0,2018-11-20,44.59,45.37,43.88,44.24,42.47,271300800,APPLE
1,2018-11-20,71.88,76.74,71.0,74.77,74.77,217576000,AMAZON
2,2018-11-20,127.03,134.16,126.85,132.43,132.43,41939500,META
3,2018-11-20,22.78,23.32,22.24,23.17,23.17,120070500,TESLA
4,2018-11-21,44.93,45.07,44.14,44.2,42.42,124496800,APPLE
5,2018-11-21,77.15,77.5,75.75,75.84,75.84,114336000,AMAZON
6,2018-11-21,23.47,23.54,22.49,22.55,22.55,70302000,TESLA
7,2018-11-21,134.4,137.19,134.13,134.82,134.82,25469700,META
8,2018-11-23,43.74,44.15,43.03,43.07,41.34,94496000,APPLE
9,2018-11-23,133.65,134.5,131.26,131.73,131.73,11886100,META
10,2018-11-23,75.85,76.81,75.09,75.1,75.1,54152000,AMAZON
11,2018-11-23,22.29,22.5,21.7,21.72,21.72,63039000,TESLA
12,2018-11-26,133.0,137.0,132.78,136.38,136.38,24263600,META
13,2018-11-26,76.95,79.24,76.21,79.07,79.07,125154000,AMAZON
14,2018-11-26,43.56,43.74,42.56,43.65,41.9,179994000,APPLE
15,2018-11-26,21.67,23.08,21.67,23.07,23.07,119881500,TESLA
16,2018-11-27,135.75,136.61,133.71,135.0,135.0,20750300,META
17,2018-11-27,78.8,79.88,77.9,79.07,79.07,115664000,AMAZON
18,2018-11-27,22.67,23.13,22.37,22.93,22.93,95374500,TESLA
19,2018-11-27,42.88,43.69,42.72,43.56,41.81,165549600,APPLE
20,2018-11-28,136.28,136.79,131.85,136.76,136.76,29847500,META
21,2018-11-28,44.18,45.32,43.73,45.24,43.42,184250000,APPLE
22,2018-11-28,23.07,23.22,22.81,23.19,23.19,61914000,TESLA
23,2018-11-28,80.7,84.07,80.06,83.89,83.89,169174000,AMAZON
24,2018-11-29,23.13,23.17,22.64,22.74,22.74,46210500,TESLA
25,2018-11-29,83.75,84.5,82.62,83.68,83.68,132264000,AMAZON
26,2018-11-29,135.92,139.99,135.66,138.68,138.68,24238700,META
27,2018-11-29,45.67,45.7,44.42,44.89,43.08,167080000,APPLE
28,2018-11-30,45.07,45.08,44.26,44.64,42.85,158126000,APPLE
29,2018-11-30,83.97,84.8,83.32,84.51,84.51,115236000,AMAZON
30,2018-11-30,138.26,140.97,137.36,140.61,140.61,25732600,META
31,2018-11-30,22.79,23.44,22.55,23.37,23.37,84436500,TESLA
32,2018-12-03,46.12,46.24,45.3,46.21,44.35,163210000,APPLE
33,2018-12-03,24.0,24.4,23.47,23.9,23.9,124597500,TESLA
34,2018-12-03,143.0,143.68,140.76,141.09,141.09,24819200,META
35,2018-12-03,88.47,88.92,86.5,88.62,88.62,137246000,AMAZON
36,2018-12-04,45.24,45.6,44.07,44.17,42.4,165377200,APPLE
37,2018-12-04,23.74,24.58,23.47,23.98,23.98,126928500,TESLA
38,2018-12-04,87.8,88.52,83.25,83.42,83.42,173890000,AMAZON
39,2018-12-04,140.73,143.39,137.16,137.93,137.93,30307400,META
40,2018-12-06,80.74,85.05,80.49,84.96,84.96,175788000,AMAZON
41,2018-12-06,42.94,43.7,42.6,43.68,41.92,172393600,APPLE
42,2018-12-06,133.82,139.7,133.67,139.63,139.63,28218100,META
43,2018-12-06,23.73,24.49,23.38,24.2,24.2,117637500,TESLA
44,2018-12-07,85.25,85.95,81.27,81.46,81.46,151522000,AMAZON
45,2018-12-07,43.37,43.62,42.08,42.12,40.43,169126400,APPLE
46,2018-12-07,139.25,140.87,136.66,137.42,137.42,21195500,META
47,2018-12-07,24.6,25.3,23.84,23.86,23.86,172668000,TESLA
48,2018-12-10,81.19,82.9,79.54,82.05,82.05,149896000,AMAZON
49,2018-12-10,139.6,143.05,139.01,141.85,141.85,26422200,META
